country_1,country_2,t_statistic,p_value
Albania,Israel,4.6537526276988,3.7046437776839744e-06
Albania,Italy,4.769623361627617,2.1261349381501266e-06
Albania,Jamaica,-6.274468328492746,5.251528151426579e-10
Albania,Japan,3.306010784332647,0.0009805858686694903
Albania,Jordan,-3.344318615962062,0.0008564704524101697
Albania,Kazakhstan,-6.694122930023911,3.6413099201300715e-11
Albania,Kenya,-10.082122062837332,8.383990312163365e-23
Albania,Kiribati,-12.244859710188917,3.7330457379693767e-32
Albania,"Korea, Dem. People's Rep.",-7.7663735489680725,2.0516937612892003e-14
Albania,"Korea, Rep.",1.3961136366356122,0.16299515749196394
Albania,Kosovo,-7.213209727551758,1.3771245164562785e-12
Albania,Kuwait,2.5135847809222756,0.012110346069032803
Albania,Kyrgyz Republic,-7.5876049374567875,7.533458863988898e-14
Albania,Lao PDR,-10.79764346306254,9.566064318396151e-26
Albania,Latvia,-4.147256864752559,3.657702050187787e-05
Albania,Lebanon,-0.23438058461615716,0.8147389917410363
Albania,Lesotho,-11.200987066061732,1.7866343847872757e-27
Albania,Liberia,-10.977302442377477,1.6496598083798172e-26
Albania,Libya,-5.252613071886395,1.8440437258091538e-07
Albania,Liechtenstein,-5.598500951815344,3.3952856826090667e-08
Albania,Lithuania,-4.300107020830706,1.8778731195470784e-05
Albania,Luxembourg,2.913844317154009,0.003650883683401664
Albania,"Macao SAR, China",-5.176459935636824,3.1607858332057074e-07
Albania,Madagascar,-10.663546261121555,3.511365205622273e-25
Albania,Malawi,-10.962442180146972,1.90306235978038e-26
Albania,Malaysia,-2.5097775452688222,0.012240665009753503
Albania,Maldives,-1.1453825242626672,0.25233064715157466
Albania,Mali,-12.356425886510387,1.1074164999463988e-32
Albania,Malta,3.9331296504651316,8.972925737408628e-05
Albania,Marshall Islands,-14.827308525832956,8.163289528385297e-44
Albania,Mauritania,-9.087140186124165,5.589601352111278e-19
Albania,Mauritius,-5.279759754154347,1.5912325070387228e-07
Albania,Mexico,-4.883020987269235,1.2183971704877838e-06
Albania,"Micronesia, Fed. Sts.",-9.775442725019014,1.3763253327771527e-21
Albania,Moldova,-6.465037423127527,1.593289778816042e-10
Albania,Monaco,3.9976525806751924,7.02889415423149e-05
Albania,Mongolia,-8.583308264502275,3.55012704537849e-17
Albania,Montenegro,-1.8404753354336711,0.06600130474804732
Albania,Morocco,-7.8188457031192975,1.383943993937547e-14
Albania,Mozambique,-12.172039369656424,7.988788988638027e-32
Albania,Myanmar,-11.38758571816816,2.743940286999684e-28
Albania,Namibia,-10.207263957820498,2.6247310690715363e-23
Albania,Nauru,-13.27798246935148,2.7374050417253447e-36
Albania,Nepal,-9.89700575652929,4.558857517184885e-22
Albania,Netherlands,3.513685778342834,0.0004620606731319907
Albania,New Caledonia,-15.444647259326864,4.601701499475663e-45
Albania,New Zealand,2.568631278657583,0.0103571989966501
Albania,Nicaragua,-6.102741979263751,1.5025210866676347e-09
Albania,Niger,-11.84589167247448,2.4861040387503946e-30
Albania,Nigeria,-10.21442321588576,2.468158927272873e-23
Albania,North Macedonia,-1.2989001636429436,0.19428309565610383
Albania,Northern Mariana Islands,-12.841738863098145,2.9727512447513933e-33
Albania,Norway,4.167411440075072,3.351244764618404e-05
Albania,Oman,-0.35891036617163213,0.7197389052650334
Albania,Pakistan,-13.167301275645455,1.5158246419555693e-36
Albania,Palau,-11.17810348650221,6.099022229078889e-27
Albania,Panama,-3.548865343624618,0.00040515610801426295
Albania,Papua New Guinea,-10.644137702900869,4.257667921443941e-25
Albania,Paraguay,-6.659146873675941,4.602609163482697e-11
Albania,Peru,-5.652747493550203,2.070648193845591e-08
Albania,Philippines,-7.7409997263687105,2.4520810603729452e-14
Albania,Poland,-1.7846796467268604,0.0746206673651836
Albania,Portugal,1.289995344569851,0.19735504390027414
Albania,Puerto Rico (US),-3.1358201052298234,0.0017766467640473163
Albania,Qatar,3.018600903824728,0.002605092474663247
Albania,Romania,-4.054926772258973,5.410847260901069e-05
Albania,Russian Federation,-6.271529870622814,5.345595663670101e-10
Albania,Rwanda,-10.183889307284138,3.261871569009839e-23
Albania,Samoa,-6.823755524804392,1.5618715311114734e-11
Albania,San Marino,3.0880399793499103,0.002088886109704934
